Target,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC-ROC
DDEAD,Logistic Regression V3,0.5,0.7565687789799073,0.2580935251798561,0.7051597051597052,0.3778801843317972,0.7942622805932159
DDEAD,Logistic Regression V3 Tuned,0.1,0.17954662545079855,0.11266034578918015,0.9926289926289926,0.2023541197094916,0.7942622805932159
