threshold,accuracy,precision,recall,f1_score,auc_roc
0.1,0.13730036063884596,0.108151305274374,0.9975429975429976,0.19514539774092765,0.7921093100949215
0.15,0.2444616177228233,0.12026458208057728,0.9828009828009828,0.21430484864720065,0.7921093100949215
0.2,0.3815043791859866,0.1398121387283237,0.9508599508599509,0.24377952755905513,0.7921093100949215
0.25,0.5054095826893354,0.16362827923521564,0.9041769041769042,0.27710843373493976,0.7921093100949215
0.3,0.5899021123132406,0.184,0.8476658476658476,0.3023663453111306,0.7921093100949215
0.35,0.6427099433281813,0.2037484885126965,0.828009828009828,0.3270257156720039,0.7921093100949215
0.4,0.6857290056671819,0.22176591375770022,0.7960687960687961,0.3468950749464668,0.7921093100949215
0.45,0.716898505924781,0.2330246913580247,0.742014742014742,0.35466823253082796,0.7921093100949215
0.5,0.7506439979392066,0.2532981530343008,0.7076167076167076,0.37305699481865284,0.7921093100949215
0.55,0.773827923750644,0.26843657817109146,0.6707616707616708,0.38342696629213485,0.7921093100949215
0.6,0.7928902627511591,0.27919911012235815,0.6167076167076168,0.38437978560490044,0.7921093100949215
0.65,0.8119526017516744,0.29214929214929214,0.5577395577395577,0.38344594594594594,0.7921093100949215
0.7,0.8281813498196806,0.30597014925373134,0.5036855036855037,0.3806870937790158,0.7921093100949215
0.75,0.8441524987120042,0.31868131868131866,0.4275184275184275,0.3651626442812172,0.7921093100949215
0.8,0.8575476558475013,0.3261904761904762,0.3366093366093366,0.3313180169286578,0.7921093100949215
0.85,0.8791859866048428,0.376,0.23095823095823095,0.2861491628614916,0.7921093100949215
