threshold,accuracy,precision,recall,f1_score,auc_roc
0.1,0.2767116182572614,0.23817336614711512,0.9965675057208238,0.38446259103950564,0.798840909683885
0.15,0.341545643153527,0.25406203840472674,0.9839816933638444,0.40385066917116696,0.798840909683885
0.2,0.4157157676348548,0.2747468147664162,0.9622425629290617,0.42744599745870393,0.798840909683885
0.25,0.48781120331950206,0.29901423877327493,0.937070938215103,0.45336285635206197,0.798840909683885
0.3,0.5557572614107884,0.32586135325861354,0.8981693363844394,0.4782211392019494,0.798840909683885
0.35,0.6141078838174274,0.3538095238095238,0.8501144164759725,0.4996637525218561,0.798840909683885
0.4,0.6597510373443983,0.38174946004319654,0.8089244851258581,0.5187087307410124,0.798840909683885
0.45,0.7033195020746889,0.416044776119403,0.7654462242562929,0.5390813859790492,0.798840909683885
0.5,0.741701244813278,0.4554093567251462,0.7128146453089245,0.5557537912578056,0.798840909683885
0.55,0.7658195020746889,0.48786610878661085,0.6670480549199085,0.5635572740454325,0.798840909683885
0.6,0.7795643153526971,0.5115384615384615,0.6086956521739131,0.5559038662486938,0.798840909683885
0.65,0.7904564315352697,0.5369127516778524,0.5491990846681922,0.5429864253393665,0.798840909683885
0.7,0.7984958506224067,0.5630689206762028,0.4954233409610984,0.527084601339014,0.798840909683885
0.75,0.8013485477178424,0.5841121495327103,0.4290617848970252,0.4947229551451187,0.798840909683885
0.8,0.8065352697095436,0.6333333333333333,0.34782608695652173,0.44903988183161003,0.798840909683885
0.85,0.8026452282157677,0.6816720257234726,0.2425629290617849,0.35780590717299576,0.798840909683885
