Target,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC-ROC
FDEAD,Logistic Regression V3,0.5,0.741701244813278,0.4554093567251462,0.7128146453089245,0.5557537912578056,0.798840909683885
FDEAD,Logistic Regression V3 Tuned,0.1,0.2767116182572614,0.23817336614711512,0.9965675057208238,0.38446259103950564,0.798840909683885
FDEAD,Best Logistic Tuned,0.5,0.7359958506224067,0.4483500717360115,0.7151029748283753,0.5511463844797179,0.7985094011820734
FDEAD,Best Logistic Tuned + Threshold,0.1,0.27282157676348545,0.2372004357298475,0.9965675057208238,0.38319401671799386,0.7985094011820734
