threshold,accuracy,precision,recall,f1_score,auc_roc
0.1,0.17954662545079855,0.11266034578918015,0.9926289926289926,0.2023541197094916,0.7942622805932159
0.15,0.30267903142709945,0.1287927695287282,0.9803439803439803,0.22767475035663337,0.7942622805932159
0.2,0.4363730036063885,0.14871794871794872,0.9262899262899262,0.256288239292998,0.7942622805932159
0.25,0.5337454920144256,0.16988235294117648,0.8869778869778869,0.28515007898894157,0.7942622805932159
0.3,0.6058732612055642,0.190292333149476,0.8476658476658476,0.3108108108108108,0.7942622805932159
0.35,0.6576506955177743,0.20859671302149177,0.8108108108108109,0.33182503770739064,0.7942622805932159
0.4,0.6944873776403916,0.22395464209780297,0.7764127764127764,0.34763476347634764,0.7942622805932159
0.45,0.7308088614116435,0.24274193548387096,0.7395577395577395,0.3655130540376442,0.7942622805932159
0.5,0.7565687789799073,0.2580935251798561,0.7051597051597052,0.3778801843317972,0.7942622805932159
0.55,0.7751159196290572,0.2655935613682093,0.6486486486486487,0.37687366167023556,0.7942622805932159
0.6,0.7957238536836682,0.28216704288939054,0.6142506142506142,0.3866976024748647,0.7942622805932159
0.65,0.8078310149407522,0.28517110266159695,0.5528255528255528,0.3762541806020067,0.7942622805932159
0.7,0.8232869654817104,0.29753265602322204,0.5036855036855037,0.3740875912408759,0.7942622805932159
0.75,0.8384853168469861,0.3122866894197952,0.44963144963144963,0.3685800604229607,0.7942622805932159
0.8,0.8552292632663575,0.328159645232816,0.36363636363636365,0.34498834498834496,0.7942622805932159
0.85,0.8737764039155075,0.3639344262295082,0.2727272727272727,0.31179775280898875,0.7942622805932159
