threshold,accuracy,precision,recall,f1_score,auc_roc
0.1,0.27282157676348545,0.2372004357298475,0.9965675057208238,0.38319401671799386,0.7985094011820734
0.15,0.33402489626556015,0.2519039250146456,0.9839816933638444,0.40111940298507465,0.7985094011820734
0.2,0.40560165975103735,0.27173213135866064,0.965675057208238,0.42412060301507537,0.7985094011820734
0.25,0.47795643153526973,0.29507016912558476,0.9382151029748284,0.44894607172187245,0.7985094011820734
0.3,0.5471991701244814,0.3223308883455583,0.9050343249427918,0.4753605769230769,0.7985094011820734
0.35,0.60451244813278,0.34881560613098,0.8592677345537757,0.4962008589362405,0.7985094011820734
0.4,0.6522302904564315,0.37638962413975646,0.8135011441647597,0.5146579804560261,0.7985094011820734
0.45,0.6947614107883817,0.40790273556231005,0.7677345537757437,0.5327510917030568,0.7985094011820734
0.5,0.7359958506224067,0.4483500717360115,0.7151029748283753,0.5511463844797179,0.7985094011820734
0.55,0.7650414937759336,0.4866220735785953,0.665903890160183,0.5623188405797102,0.7985094011820734
0.6,0.7811203319502075,0.5143953934740882,0.6132723112128147,0.5594989561586639,0.7985094011820734
0.65,0.7901970954356846,0.5365579302587177,0.545766590389016,0.5411230856494611,0.7985094011820734
0.7,0.7990145228215768,0.5669824086603519,0.4794050343249428,0.5195288282703038,0.7985094011820734
0.75,0.803941908713693,0.5983333333333334,0.4107551487414188,0.4871099050203528,0.7985094011820734
0.8,0.8070539419087137,0.6540284360189573,0.3157894736842105,0.42592592592592593,0.7985094011820734
0.85,0.8023858921161826,0.7043795620437956,0.2208237986270023,0.3362369337979094,0.7985094011820734
